created,updated,variant_id,model_year_id,vehicle_model_id,brand_id,region_id,oem_id,region_name,country_name,oem_name,brand_name,vehicle_model_name,vehicle_model_generic_name,model_year,year_launched,variant_name,transmission_type,engine_type,drivetrain,vehicle_model_aliases,vehicle_category,vehicle_type,discontinuation_date,variant_full_name,variant_aliases,engine_capacity_cc,power_bhp,torque_nm,mileage_kmpl,seating_capacity,fuel_tank_capacity_litres,boot_space_litres,ex_showroom_price,on_road_price,price_units,safety_rating,variant_status,brochure_pdf,brochure_download_link,region_level_guidelines,region_level_guardrails,brand_logo_url,brand_website,parent_company,brand_level_guidelines,brand_level_guardrails,oem_brand_awareness,oem_country_of_origin,oem_wiki_description
,,,,,,,,India,India,Jeep,Jeep,Meridian,Meridian,2025,2022,Limited (O),Manual,Diesel,FWD,,,,,,Limited (O) 4x2,,,,,,,,,,,,Available,https://d24ohqpcwj3ww1.cloudfront.net/autobot/media/document/adcac536-7db3-4704-9657-6d72e29fa87b-6965aa7c_New-Jeep-Meridian-Brochure.pdf,https://d24ohqpcwj3ww1.cloudfront.net/autobot/media/document/adcac536-7db3-4704-9657-6d72e29fa87b-6965aa7c_New-Jeep-Meridian-Brochure.pdf,,,,,,,,,,
,,,,,,,,India,India,Jeep,Jeep,Meridian,Meridian,2025,2022,Limited (O),Automatic,Diesel,FWD,,,,,,Limited (O) 4x2 AT,,,,,,,,,,,,Available,https://d24ohqpcwj3ww1.cloudfront.net/autobot/media/document/adcac536-7db3-4704-9657-6d72e29fa87b-6965aa7c_New-Jeep-Meridian-Brochure.pdf,https://d24ohqpcwj3ww1.cloudfront.net/autobot/media/document/adcac536-7db3-4704-9657-6d72e29fa87b-6965aa7c_New-Jeep-Meridian-Brochure.pdf,,,,,,,,,,
,,,,,,,,India,India,Jeep,Jeep,Meridian,Meridian,2025,2022,Longitude,Manual,Diesel,FWD,,,,,,Longitude 4x2,,,,,,,,,,,,Available,https://d24ohqpcwj3ww1.cloudfront.net/autobot/media/document/adcac536-7db3-4704-9657-6d72e29fa87b-6965aa7c_New-Jeep-Meridian-Brochure.pdf,https://d24ohqpcwj3ww1.cloudfront.net/autobot/media/document/adcac536-7db3-4704-9657-6d72e29fa87b-6965aa7c_New-Jeep-Meridian-Brochure.pdf,,,,,,,,,,
,,,,,,,,India,India,Jeep,Jeep,Meridian,Meridian,2025,2022,Longitude,Automatic,Diesel,FWD,,,,,,Longitude 4x2 AT,,,,,,,,,,,,Available,https://d24ohqpcwj3ww1.cloudfront.net/autobot/media/document/adcac536-7db3-4704-9657-6d72e29fa87b-6965aa7c_New-Jeep-Meridian-Brochure.pdf,https://d24ohqpcwj3ww1.cloudfront.net/autobot/media/document/adcac536-7db3-4704-9657-6d72e29fa87b-6965aa7c_New-Jeep-Meridian-Brochure.pdf,,,,,,,,,,
,,,,,,,,India,India,Jeep,Jeep,Meridian,Meridian,2025,2022,Longitude Plus,Manual,Diesel,FWD,,,,,,Longitude Plus 4x2,,,,,,,,,,,,Available,https://d24ohqpcwj3ww1.cloudfront.net/autobot/media/document/adcac536-7db3-4704-9657-6d72e29fa87b-6965aa7c_New-Jeep-Meridian-Brochure.pdf,https://d24ohqpcwj3ww1.cloudfront.net/autobot/media/document/adcac536-7db3-4704-9657-6d72e29fa87b-6965aa7c_New-Jeep-Meridian-Brochure.pdf,,,,,,,,,,
,,,,,,,,India,India,Jeep,Jeep,Meridian,Meridian,2025,2022,Longitude Plus,Automatic,Diesel,FWD,,,,,,Longitude Plus 4x2 AT,,,,,,,,,,,,Available,https://d24ohqpcwj3ww1.cloudfront.net/autobot/media/document/adcac536-7db3-4704-9657-6d72e29fa87b-6965aa7c_New-Jeep-Meridian-Brochure.pdf,https://d24ohqpcwj3ww1.cloudfront.net/autobot/media/document/adcac536-7db3-4704-9657-6d72e29fa87b-6965aa7c_New-Jeep-Meridian-Brochure.pdf,,,,,,,,,,
,,,,,,,,India,India,Jeep,Jeep,Meridian,Meridian,2025,2022,Overland,Automatic,Diesel,FWD,,,,,,Overland 4x2 AT,,,,,,,,,,,,Available,https://d24ohqpcwj3ww1.cloudfront.net/autobot/media/document/adcac536-7db3-4704-9657-6d72e29fa87b-6965aa7c_New-Jeep-Meridian-Brochure.pdf,https://d24ohqpcwj3ww1.cloudfront.net/autobot/media/document/adcac536-7db3-4704-9657-6d72e29fa87b-6965aa7c_New-Jeep-Meridian-Brochure.pdf,,,,,,,,,,
,,,,,,,,India,India,Jeep,Jeep,Meridian,Meridian,2025,2022,Overland,Automatic,Diesel,4WD,,,,,,Overland 4x4 AT,,,,,,,,,,,,Available,https://d24ohqpcwj3ww1.cloudfront.net/autobot/media/document/adcac536-7db3-4704-9657-6d72e29fa87b-6965aa7c_New-Jeep-Meridian-Brochure.pdf,https://d24ohqpcwj3ww1.cloudfront.net/autobot/media/document/adcac536-7db3-4704-9657-6d72e29fa87b-6965aa7c_New-Jeep-Meridian-Brochure.pdf,,,,,,,,,,
,,,,,,,,India,India,Citroen,Citroen,Basalt X,Basalt X,2025,2024,You,Manual,Petrol,,,,,,,,,,,,,,,,,,,Available,https://d24ohqpcwj3ww1.cloudfront.net/autobot/media/document/ecb55b70-b68d-4caf-8709-98b252a1d519-69721d63_BasaltX_Brochure_30.10.pdf,https://d24ohqpcwj3ww1.cloudfront.net/autobot/media/document/ecb55b70-b68d-4caf-8709-98b252a1d519-69721d63_BasaltX_Brochure_30.10.pdf,,,,,,,,,,
,,,,,,,,India,India,Citroen,Citroen,Basalt X,Basalt X,2025,2024,Plus,Manual,Petrol,,,,,,,,,,,,,,,,,,,Available,https://d24ohqpcwj3ww1.cloudfront.net/autobot/media/document/ecb55b70-b68d-4caf-8709-98b252a1d519-69721d63_BasaltX_Brochure_30.10.pdf,https://d24ohqpcwj3ww1.cloudfront.net/autobot/media/document/ecb55b70-b68d-4caf-8709-98b252a1d519-69721d63_BasaltX_Brochure_30.10.pdf,,,,,,,,,,
