created,updated,brand_id,oem_id,brand_name,oem_name,oem_country_of_origin,parent_company,oem_brand_awareness,oem_wiki_description,oem_vehicle_categories,region_id,region_name,region_level_guidelines,region_level_guardrails,brand_level_guidelines,brand_level_guardrails,country_name,logo_url,website
,,,,Maruti Suzuki Arena,Suzuki Motor Corporation,Japan,,,,,india,India,,,"Affordable family cars; strong fuel efficiency focus (CNG & mild-hybrid); unmatched service network reach; digital-first and SEO-led marketing for urban and rural buyers; ARENA portfolio emphasizes practical yet aspirational upgrades, highlighting value, reliability, and everyday lifestyle convenience",6 airbags standard across ~97% of lineup; ESP and Hill Hold Assist on applicable models; mandatory child locks and ISOFIX mounts; no low-safety variants post-2025; consistent safety-first messaging driven by campaigns like “Kam Se Kaam Banega”.,India,,https://www.marutisuzuki.com/arena
,,,,Maruti Suzuki Nexa,Suzuki Motor Corporation,Japan,,,,,india,India,,,"Affordable family cars; fuel efficiency (CNG/hybrid focus); widespread service network; SEO-driven digital marketing for urban/rural buyers; NEXA shields are designed to position vehicles as aspirational and lifestyle-oriented upgrades, emphasizing premium experience and sophistication.","6 airbags standard in 97% lineup; ESP/Hill Hold mandatory; child locks/ISOFIX; no low-safety variants post-2025; perceptual shift to safety via campaigns like ""Kam Se Kaam Banega"".",India,,https://www.nexaexperience.com/
,,,,Byd,BYD Company Limited,China,,,,,india,India,,,"EV-focused; Blade Battery tech; fast charging/longevity; affordable premium EVs; localization for India (e.g., Chennai plant); global partnerships for mass adoption.",6 airbags/ADAS Level 2; regenerative braking; Blade Battery (nail penetration stable at 30-60°C); 5-star NCAP target; no fire-risk designs; 70% vertical integration for safety.,India,,https://www.byd.com/in
,,,,KIA,Kia Corporation,South Korea,Hyundai Motor Company,,,,india,India,,,"Premium compact SUVs; ADAS/connected tech integration; Kia Connect app for 60+ features; target millennials with bold ""Badass"" styling and OTA updates.","6 airbags + 19 ADAS Level 2 features (e.g., smart cruise, blind-spot); ESC/HAC/VSM mandatory; 360° camera; no variants below 4-star NCAP; compliance with pedestrian protection.",India,,https://www.kia.com/in
,,,,Jeep,Jeep,USA,Stellantis N.V.,,,,india,India,,,"Authentic SUV heritage with a strong focus on off-road capability and adventure; premium yet rugged positioning; emphasis on performance, 4x4 technology, and terrain mastery; lifestyle-led storytelling centered on freedom, exploration, and capability; selective, experience-driven marketing over mass reach; appeals to urban achievers and adventure-oriented buyers seeking differentiation and status through capability.","Robust safety architecture with high-strength steel platforms; standard multi-airbag systems across the range; advanced driver assistance features (ADAS) and electronic stability control on applicable models; mandatory ISOFIX mounts, rear parking assistance, and traction management systems; no compromise on structural integrity or off-road safety credentials; safety communication integrated with capability messaging - positioning protection as essential for both city driving and extreme terrains.",India,,https://www.jeep-india.com/
,,,,Citroen,Citroen,France,Stellantis N.V.,,,,india,India,,,"Comfort-first mobility rooted in Citroën’s global DNA; emphasis on ride quality, suspension excellence, and cabin comfort; minimalist yet distinctive European design; value-driven offerings with smart feature prioritization rather than feature overload; growing focus on urban millennials and young families; digital-led discovery with strong social, influencer, and content-driven storytelling; selective dealership footprint complemented by online-first sales and service touchpoints; focus on personalization, lifestyle appeal, and unconventional brand tone","High-strength body structures with progressive rollout of 6 airbags across core models; ABS + EBD standard across lineup; ESP, Hill Hold Assist, and Traction Control on automatic and higher variants; ISOFIX child seat mounts and rear parking sensors mandatory; no compromise on ride comfort or suspension tuning for cost reduction; safety and comfort positioned together (not traded off); consistent messaging around “comfort with confidence,” avoiding aggressive performance or mileage-only claims.",India,,https://www.citroen.in/
,,,,Hyundai Motor India,Hyundai Motor Company,South Korea,,,,,india,India,,,"Premium-yet-accessible vehicles; strong focus on design, safety, and connected technology; balanced powertrain strategy including petrol, diesel, turbo, and EVs; high-impact digital and experience-led marketing to appeal to urban and aspirational buyers; brand positioning emphasizes modern styling, feature richness, advanced infotainment, and emotional ownership appeal.","6 airbags standard across majority of the lineup; ESC, VSM, and Hill Assist offered on applicable variants; mandatory ISOFIX mounts and rear child safety locks across models; progressive elimination of low-safety variants in line with evolving regulations; consistent safety-led communication reinforced through campaigns emphasizing advanced technology, global safety standards, and family protection.",India,,https://www.hyundai.com/in/en
,,,,Mahindra,Mahindra & Mahindra,India,Mahindra Group,,,,india,India,,,"Rugged, performance-driven SUVs with strong off-road DNA; focus on powerful engines, safety, and electric mobility leadership in SUVs; community-led and experience-based marketing supported by digital storytelling; brand identity centers on toughness, adventure, and “Made-in-India” pride, highlighting capability, durability, and aspirational lifestyle ownership.","High safety positioning with multiple models rated 4- and 5-star in Global/Bharat NCAP; standard fitment of 6 airbags, ESP, and rollover mitigation on core SUV lineup; ISOFIX child seat anchors and robust body-on-frame or reinforced monocoque construction; no compromise on structural safety even in entry variants; safety messaging anchored around toughness, real-world protection, and Indian driving conditions.",India,,https://auto.mahindra.com/
,,,,Tata Motors,Tata Motors Limited,India,Tata Group,,,,india,India,,,"- Positioning as a safety‑ and technology‑led Indian brand with strong focus on design (Impact Design 2.0), build quality and feature-rich value in hatchbacks, SUVs and EVs. \n - Strong push on electric mobility (Tiago EV, Tigor EV, Nexon EV, Punch EV) with communication around low running cost, sustainability and urban usability. \n - Omnichannel retail with digital discovery, virtual experiences and a wide physical network to reach Tier‑1 to Tier‑3 cities and semi‑urban markets","- Core promise around “Safer cars for India” with multiple models achieving 5‑star GNCAP/Bharat NCAP ratings; no new mass‑market platforms launched without advanced safety baked in. \n - Emphasis on standard safety kit (multiple airbags, ABS, ESC, ISOFIX in higher share of variants) and gradual reduction of bare‑bones variants in key nameplates. \n - Communication avoids performance-at-any-cost narratives; instead ties powertrain and features back to safety, family use, reliability and responsible mobility.",India,,https://www.tatamotors.com/
,,,,Toyota Kirloskar Motor,Toyota Motor Corporation,Japan,,,,,india,India,,,Reliable family MPVs/hybrids; diesel/hybrid efficiency; premium comfort; sustainability via self-charging hybrids (up to 27 kmpl); trust-based marketing for long-term ownership.,7 airbags/ESC/Hill Assist standard; vehicle stability control; Level 2 ADAS (lane-keep); 5-star ASEAN/Bharat NCAP; no low-emission variants; battery replacement programs.,India,,https://www.toyotabharat.com/
