created,updated,dealership_id,region_id,region_name,dealer_name,supported_brands,workshop_name,workshop_type,contact_number,email,address,city,state,pincode,geolocation,days_open,operating_hours,workshop_full_name,total_service_bays,total_technicians,daily_service_capacity,services_offered,facilities_available,manager_name,manager_contact,workshop_status,display_vehicle_count,google_reviews_rating,google_reviews,google_my_business_listing,workshop_reviews,workshop_photos,workshop_rating,region_level_guidelines,region_level_guardrails,supported_brands_guidelines,region_subdivision_id,subdivision_name,languages,subdivision_level_guidelines,subdivision_level_guardrails,workshop_level_guidelines,workshop_level_guardrails,workshop_id
,,,,India,Ambal Auto,Maruti Suzuki Arena,Iyer Hospital Premises,Main Workshop,8220862366,,"Iyer Hospital Premises, Trichy Road, Singanallur, Coimbatore - 641005",Coimbatore,Tamil Nadu,641005,"10.999611, 77.026472","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 09:00, closing_time: 18:00",,,,,"General Service, Repair, Body Shop, Paint, Tyre Alignment, Wheel Balancing, AC Service, Battery Service, Electrical Work, Detailing, Car Wash, Pickup & Drop, Roadside Assistance",,,,Active,,,,,,,,,,,,,,,,,,
,,,,India,Ambal Auto,Maruti Suzuki Arena,saravanampatti,Main Workshop,9943177775,,"94 ,Sathy Main Road, Viswasapuram, Saravanampatti, Coimbatore - 641035",Coimbatore,Tamil Nadu,641035,"11.084833, 77.007028","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 09:00, closing_time: 18:00",,,,,"General Service, Repair, Body Shop, Paint, Tyre Alignment, Wheel Balancing, AC Service, Battery Service, Electrical Work, Detailing, Car Wash, Pickup & Drop, Roadside Assistance",,,,Active,,,,,,,,,,,,,,,,,,
,,,,India,Aakriti World,Jeep,Aakriti World,Main Workshop,9592955555,sales@aakritiworld.com,AAKRITI WORLD,Jalandhar,Punjab,144001,"31.2929, 75.6538","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 09:00, closing_time: 18:00",,,,,,,,,Active,,,,,,,,,,,,,,,,,,
,,,,India,Akshat Jeep,Jeep,Akshat Jeep,Main Workshop,9044154034,servicehead@akshatmotors-jeepindia.com,Akshat Jeep,Varanasi,Uttar Pradesh,221302,"25.2756, 82.8755","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 09:30, closing_time: 18:30",,,,,,,,,Active,,,,,,,,,,,,,,,,,,
,,,,India,Anand Jeep,Jeep,Anand Jeep - Workshop,Main Workshop,8889622252,crmsales@anandjeep.com,Anand Jeep - Workshop,Bhopal,Madhya Pradesh,462026,"23.14705, 77.480614","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 09:30, closing_time: 18:30",,,,,,,,,Active,,,,,,,,,,,,,,,,,,
,,,,India,ARAS Jeep,Jeep,ARAS Jeep - Workshop,Main Workshop,8012569006,crmservice.mdu@arasgroup.org,ARAS Jeep - Workshop,Madurai,Tamil Nadu,625221,"10.014203, 78.016683","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 09:30, closing_time: 18:00",,,,,,,,,Active,,,,,,,,,,,,,,,,,,
,,,,India,ARG Jeep,Jeep,ARG Jeep - Workshop,Main Workshop,9541503458,service@argautomobiles.in,ARG Jeep - Workshop,Srinagar,Jammu & Kashmir,190005,"34.030763, 74.79361","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 09:00, closing_time: 18:00",,,,,,,,,Active,,,,,,,,,,,,,,,,,,
,,,,India,BANERJEE JEEP,Jeep,BANERJEE JEEP,Main Workshop,8170000401,ayan@banerjeejeep.com,BANERJEE JEEP,Asansol,West Bengal,713339,"23.6721057, 87.0229474","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 09:30, closing_time: 18:30",,,,,,,,,Active,,,,,,,,,,,,,,,,,,
,,,,India,BANSAL JEEP,Jeep,BANSAL JEEP,Main Workshop,9174407705,md@citroen-bansal.com,BANSAL JEEP,Satna,Madhya Pradesh,485001,"24.57639, 80.7975","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday","opening_time: 10:00, closing_time: 19:00",,,,,,,,,Active,,,,,,,,,,,,,,,,,,
,,,,India,Bhalotia Jeep,Jeep,Bhalotia Jeep,Main Workshop,,admin@bhalotiajeep.in,Bhalotia Jeep,Jamshedpur,Jharkhand,,"22.7945999, 86.1338884","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 09:30, closing_time: 18:30",,,,,,,,,Active,,,,,,,,,,,,,,,,,,
,,,,India,Bhaskara Jeep,Jeep,Bhaskara Jeep - Workshop,Main Workshop,9925001479,bhaskara.workshop2@bhaskara-fca.com,Bhaskara Jeep - Workshop,Vadodara,Gujarat,391740,"22.3838757, 73.1477525","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 09:30, closing_time: 18:30",,,,,,,,,Active,,,,,,,,,,,,,,,,,,
,,,,India,Car Planet Jeep,Jeep,Car Planet Jeep - Workshop,Main Workshop,74150 58935,manager.service@carplanet-fca.com,Car Planet Jeep - Workshop,Raipur,Chattisgarh,492001,"21.2341059, 81.5898676","Monday, Tuesday, Wednesday, Thursday, Friday","opening_time: 09:30, closing_time: 18:00",,,,,,,,,Active,,,,,,,,,,,,,,,,,,
,,,,India,Celica Jeep,Jeep,Celica Jeep - Workshop,Main Workshop,7595060001,cxm@celica-fca.com,Celica Jeep - Workshop,Kolkata,West Bengal,700105,"22.537192, 88.400044","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 09:00, closing_time: 18:00",,,,,,,,,Active,,,,,,,,,,,,,,,,,,
,,,,India,Celica Jeep,Jeep,Celica Jeep - Workshop,Main Workshop,9064074054,cxm@celica-fca.com,Celica Jeep - Workshop,Siliguri,West Bengal,734008,"26.749134, 88.438306","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 09:30, closing_time: 18:30",,,,,,,,,Active,,,,,,,,,,,,,,,,,,
,,,,India,Concept Jeep,Jeep,Concept Jeep - Workshop,Main Workshop,7573000707,crm-service@conceptjeep.in,Concept Jeep - Workshop,Ahmedabad,Gujarat,382210,"22.95855, 72.47688","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 09:30, closing_time: 18:00",,,,,,,,,Active,,,,,,,,,,,,,,,,,,
,,,,India,CROSSROAD MOTOCOP PVT. LTD. JEEP,Jeep,CROSSROAD MOTOCOP PVT. LTD. JEEP,Main Workshop,9936308878,aditya@citroen-crossroadmotocop.com,CROSSROAD MOTOCOP PVT. LTD. JEEP,Kanpur,Uttar Pradesh,208022,"26.47152154, 80.2407","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 10:00, closing_time: 19:00",,,,,,,,,Active,,,,,,,,,,,,,,,,,,
,,,,India,Deedi Jeep,Jeep,Deedi Jeep - Workshop,Main Workshop,9995807898,info@deedi-fca.com,Deedi Jeep - Workshop,Trivandrum,Kerala,695029,"8.506869, 76.908281","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 09:30, closing_time: 18:30",,,,,,,,,Active,,,,,,,,,,,,,,,,,,
,,,,India,EVM JEEP,Jeep,EVM JEEP,Main Workshop,977841104,,EVM JEEP,Thrissur,Kerala,680306,"10.28476, 76.15291","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 09:30, closing_time: 18:00",,,,,,,,,Active,,,,,,,,,,,,,,,,,,
,,,,India,EVM JEEP,Jeep,EVM JEEP,Main Workshop,9778923742,servicemanager.ktm@evmjeep.com,EVM JEEP,Kottayam,Kerala,686013,"9.555423352, 76.51393928","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 09:00, closing_time: 18:00",,,,,,,,,Active,,,,,,,,,,,,,,,,,,
,,,,India,HARMEET NEXTGEN PRIVATE LIMITED,Jeep,HARMEET NEXTGEN PRIVATE LIMITED,Main Workshop,7665012391,salesharmeetnextgen@gmail.com,HARMEET NEXTGEN PRIVATE LIMITED,Kota,Rajasthan,324005,"25.133806, 75.865189","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 09:00, closing_time: 18:00",,,,,,,,,Active,,,,,,,,,,,,,,,,,,
,,,,India,Jaika Jeep,Jeep,Jaika Jeep - Workshop,Main Workshop,8766758223,customercare@jaikacars.com,Jaika Jeep - Workshop,Nagpur,Maharashtra,440026,"21.186359, 79.131016","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 09:00, closing_time: 18:00",,,,,,,,,Active,,,,,,,,,,,,,,,,,,
,,,,India,Jayaraj Jeep,Jeep,Jayaraj Jeep - Workshop,Main Workshop,9244222728,customercare.try@jayaraj-fca.com,Jayaraj Jeep - Workshop,Trichy,Tamil Nadu,620012,"10.7441, 78.642055","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 09:00, closing_time: 18:00",,,,,,,,,Active,,,,,,,,,,,,,,,,,,
,,,,India,K P Jeep,Jeep,K P Jeep - Workshop,Main Workshop,7781017909,crm@kpautomobiles-fca.com,K P Jeep - Workshop,Ranchi,Jharkhand,834001,"23.373814, 85.351729","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 09:00, closing_time: 18:00",,,,,,,,,Active,,,,,,,,,,,,,,,,,,
,,,,India,Kalyan Jeep,Jeep,Kalyan Jeep - Workshop,Main Workshop,8476960007,kalyanjeep@kalyangroup.com,Kalyan Jeep - Workshop,Agra,Uttar Pradesh,282007,"27.220777, 77.930339","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 09:00, closing_time: 18:30",,,,,,,,,Active,,,,,,,,,,,,,,,,,,
,,,,India,Karan Ashok Jeep,Jeep,Karan Ashok Jeep,Main Workshop,9045454640,service@karanshok-fca.com,Karan Ashok Jeep,Haldwani,Uttarakhand,263139,"29.16533, 79.521415","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 09:30, closing_time: 18:30",,,,,,,,,Active,,,,,,,,,,,,,,,,,,
,,,,India,KHT Prime Jeep,Jeep,KHT Prime Jeep - Workshop,Main Workshop,8494909333,crmservice@khtprime.com,KHT Prime Jeep - Workshop,Bengaluru,Karnataka,560022,"13.024883, 77.54662","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 09:00, closing_time: 18:00",,,,,,,,,Active,,,,,,,,,,,,,,,,,,
,,,,India,KHT Prime Jeep,Jeep,KHT Prime Jeep - Workshop,Main Workshop,9035002276,crmservice2@khtprime.com,KHT Prime Jeep - Workshop,Bengaluru,Karnataka,560036,"12.998, 77.7018","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 09:30, closing_time: 18:30",,,,,,,,,Active,,,,,,,,,,,,,,,,,,
,,,,India,Krishna Jeep,Jeep,Krishna Jeep - Workshop,Main Workshop,7722067366,servicemanager@krishnaauto-fca.com,Krishna Jeep - Workshop,Satara,Maharashtra,415011,"17.721807, 74.024144","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 09:30, closing_time: 18:00",,,,,,,,,Active,,,,,,,,,,,,,,,,,,
,,,,India,KVR Jeep,Jeep,KVR Jeep - Workshop,Main Workshop,8943999925,servicemgr.clt@kvr-fca.com,KVR Jeep - Workshop,Calicut,Kerala,673005,"11.281164, 75.77052","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 09:30, closing_time: 18:30",,,,,,,,,Active,,,,,,,,,,,,,,,,,,
,,,,India,Landmark Jeep,Jeep,Landmark Jeep - Workshop,Main Workshop,9016238864,crm.westdelhi@landmarkjeep.in,Landmark Jeep - Workshop,Thane,Maharashtra,400607,"19.2801129, 72.9239518","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday","opening_time: 09:30, closing_time: 18:00",,,,,,,,,Active,,,,,,,,,,,,,,,,,,
,,,,India,Landmark Jeep,Jeep,Landmark Jeep - Workshop,Main Workshop,9510995000,gmsalespunjab@landmarkjeep.in,Landmark Jeep - Workshop,New Delhi,Delhi,110020,"28.526012, 77.2778","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 10:00, closing_time: 19:00",,,,,,,,,Active,,,,,,,,,,,,,,,,,,
,,,,India,Landmark Jeep,Jeep,Landmark Jeep - Workshop,Main Workshop,9510995000,saleshead.ldh@landmarkjeep.in,Landmark Jeep - Workshop,New Delhi,Delhi,110064,"28.628658, 77.106354","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 10:00, closing_time: 19:00",,,,,,,,,Active,,,,,,,,,,,,,,,,,,
,,,,India,Landmark Jeep,Jeep,Landmark Jeep - Workshop,Main Workshop,6353397931,feedback@landmarkjeep.in,Landmark Jeep - Workshop,Navi Mumbai,Maharashtra,400705,"19.063909, 73.028899","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 10:00, closing_time: 19:00",,,,,,,,,Active,,,,,,,,,,,,,,,,,,
,,,,India,Landmark Jeep,Jeep,Landmark Jeep - Workshop,Main Workshop,9016507355,crm.mum@landmarkjeep.in,Landmark Jeep - Workshop,Mumbai,Maharashtra,400069,"19.126364, 72.85431","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 09:30, closing_time: 18:30",,,,,,,,,Active,,,,,,,,,,,,,,,,,,
