created,updated,dealer_name,website,credits_balance,pan_number,pan_card_link,gstin,gst_certificate,certificate_of_incorporation,dealership_legal_name,aliases,languages,dealership_type,supported_brands,supported_brand_names,supported_brands_guidelines,vehicle_category,channels,dealership_guidelines,dealership_guardrails,dealership_description,dealer_group_id,dealer_group_name,dealer_group_guidelines,dealer_group_description,region_id,region_name,region_level_guidelines,region_level_guardrails,showroom_center_count,workshop_center_count,buyback_center_count,linkedin_url,year_established,billing_address,billing_contact_name,billing_contact_email,billing_contact_phone,primary_contact_name,primary_contact_role,primary_contact_email,primary_contact_phone,secondary_contact_name,secondary_contact_role,secondary_contact_email,secondary_contact_phone,dealer_status,logo_url,dealership_id
,,Ambal Auto,https://www.ambalauto.com/,,,,,,,SREE SARADHAMBAL AUTOMOBILES PVT LTD,"Ambal Auto, Ambal Auto Pvt. Ltd., SREE SARADHAMBAL AUTOMOBILES PVT LTD","English, Tamil",Single Brand,,Maruti Suzuki Arena,,Passenger Vehicle,voice_phone,,,"Authorized Maruti Suzuki car dealer operating multiple ARENA, NEXA and TrueValue outlets across Coimbatore, Erode, Nilgiris and Namakkal districts, with showrooms, workshops, and after-sales services. Founded in 1998. Handles both new car sales (Maruti Suzuki) and service/workshop operations.",,,,,,India,,,,,,https://www.linkedin.com/company/ambal-auto/?originalSubdomain=in,1998,,,,,Vignesh,Vice President After Sales and Service,info@ambalauto.com,9944847878,,,,,Active,,
,,Aakriti World,https://aakritiworld.jeep-india.com/,,,,,,,,,English,Single Brand,,Jeep,,Passenger Vehicle,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,Active,,
,,Akshat Jeep,https://ikckmotors.jeep-india.com/,,,,,,,,,English,Single Brand,,Jeep,,Passenger Vehicle,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,Active,,
,,Anand Jeep,https://anand.jeep-india.com,,,,,,,,,English,Single Brand,,Jeep,,Passenger Vehicle,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,Active,,
,,ARAS Jeep,https://araspvpvmotori.jeep-india.com,,,,,,,,,English,Single Brand,,Jeep,,Passenger Vehicle,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,Active,,
,,ARG Jeep,https://argautomobiles.jeep-india.com,,,,,,,,,English,Single Brand,,Jeep,,Passenger Vehicle,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,Active,,
,,BANERJEE JEEP,,,,,,,,,,English,Single Brand,,Jeep,,Passenger Vehicle,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,Active,,
,,BANSAL JEEP,,,,,,,,,,English,Single Brand,,Jeep,,Passenger Vehicle,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,Active,,
,,Bhalotia Jeep,,,,,,,,,,English,Single Brand,,Jeep,,Passenger Vehicle,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,Active,,
,,Bhaskara Jeep,https://bhaskara.jeep-india.com,,,,,,,,,English,Single Brand,,Jeep,,Passenger Vehicle,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,Active,,
