created,updated,feature_sub_category,feature_name,feature_category,aliases,feature_description,value_type,unit,showcase_image,images,videos,feature_id,standard_feature,engine_dependent,drivetrain_dependent,seating_dependent,transmission_dependent
,,,Accessory Power Outlet Location,Interior,power socket position; charging port location; 12V point location; outlet placement,The placement of power outlets throughout the vehicle.,Category,,,,,,,,,,
,,,Accessory Power Outlet Type,Interior,power socket type; accessory socket type; 12V socket type; charging outlet type,"The type of power outlet available for accessories, such as 12V, USB Type-A/C, etc.",Category,,,,,,,,,,
,,,Acoustic Vehicle Alert System,Alerts and Notifications,AVAS; pedestrian warning sound; EV warning sound; low-speed alert sound,A sound system that alerts pedestrians of a silent or electric vehicle.,Boolean,,,,,,,,,,
,,,Additional Airbag Type,Safety and Security,side/curtain airbags; knee airbag type; extra airbag type; advanced airbag type,"Types of extra airbags like knee, side, curtain, or central airbags.",Category,,,,,,,,,,
,,,Advanced Driver Assistance System Feature,Advanced Telematics Solution Safety & Security,ADAS features; driver assist features; safety assist; lane/auto braking features,"Specific ADAS features like lane-keep, auto-braking, or blind-spot monitoring.",Category,,,,,,,,,,
,,,Advanced Driver Assistance System Level,Advanced Telematics Solution Safety & Security,ADAS level; autonomy level; driving automation level; L1/L2 ADAS,"The level of ADAS capability (L1/L2 autonomy, etc.).",Category,,,,,,,,,,
,,,Aerodynamic Exterior Features,Exterior,aero elements; air deflectors; aero kit; drag-reducing features,Design elements aimed at improving aerodynamics and reducing drag.,Category,,,,,,,,,,
,,,Airbag Configuration,Safety and Security,airbag layout; airbag positions; front/side/curtain airbags; airbag setup,The layout and positioning of airbags throughout the vehicle.,Category,,,,,,,,,,
,,,Airbag Count,Safety and Security,total airbags; number of airbags; airbag quantity; airbags count,The total number of airbags installed in the vehicle.,Number,,,,,,,,,,
,,,Airbag Coverage,Safety and Security,coverage area; which seats have airbags; row-wise airbag coverage,The coverage of airbags across different seating positions.,Category,,,,,,,,,,
,,,Ambient Interior Lighting,Interior,ambient lighting; mood lighting; cabin ambient lights; interior LED strips,Whether ambient or mood lighting is available in the cabin.,Boolean,,,,,,,,,,
,,,Ambient Interior Lighting Color Count,Interior,ambient colors; number of ambient colors; mood light colors; ambient palette size,The number of different color options available for ambient cabin lighting.,Number,,,,,,,,,,
,,,Ambient Lighting Color Type,Interior,ambient color type; single/multi-color ambient; fixed/variable color; RGB ambient style,"The color palette available for ambient lighting (single, multi-color, RGB).",Category,,,,,,,,,,
,,,Ambient Lighting Location,Interior,ambient light zones; mood lighting locations; interior ambient areas; light strip locations,The zones or locations where ambient lighting is installed in the cabin.,Category,,,,,,,,,,
,,,Antenna Type,Exterior,antenna style; shark fin antenna; rod antenna; hidden antenna,"The style of antenna: shark fin, rod, hidden, or integrated.",Category,,,,,,,,,,
,,,Anti-lock Braking System Features,Safety and Security,ABS features; ABS with EBD/BA; braking assist tech; ABS type,Advanced ABS features like EBD (electronic brakeforce distribution) or BA (brake assist).,Category,,,,,,,,,,
,,,Anti-Theft Security System,Safety and Security,anti-theft system; immobilizer; burglar alarm; security package,The anti-theft system including immobilizer and alarm features.,Category,,,,,,,,,,
,,,Application Ecosystem,Infotainment System,app ecosystem; in-car apps; app store (car); connected apps suite,The availability of in-car apps and digital services ecosystem.,Category,,,,,,,,,,
,,,Audio Amplifier Configuration,Infotainment System,amp setup; external amplifier; channel configuration,The configuration of audio amplifiers in the system.,Category,,,,,,,,,,
,,,Audio Connectivity Support,Infotainment System,Bluetooth audio; USB audio; wireless audio; streaming support,"Supported audio connectivity: Bluetooth, USB, wireless streaming.",Category,,,,,,,,,,
,,,Audio Control Interface,Infotainment System,audio controls; media control interface; steering audio controls; touch/audio buttons,"The method to control audio: steering wheel buttons, touchscreen, or physical controls.",Category,,,,,,,,,,
,,,Audio Input Port Type,Infotainment System,audio ports; AUX/USB type; input jacks; audio jack type,"The types of audio input ports available (3.5mm AUX, USB, proprietary).",Category,,,,,,,,,,
,,,Audio Speaker Type,Infotainment System,full-range/tweeter/sub; speaker quality; coaxial/component speakers,"The types of speakers: tweeters, sub-woofers, coaxial, etc.",Category,,,,,,,,,,
,,,Audio System Sound Technology,Infotainment System,sound technology; surround sound; branded audio tech; audio enhancement,Advanced sound technologies and audio enhancements.,Category,,,,,,,,,,
,,,Audio System Source Support,Infotainment System,audio sources; USB/AUX/Bluetooth support; media input options; music source types,"The types of audio sources supported (USB, Bluetooth, AUX, etc.).",Category,,,,,,,,,,
,,,Battery Capacity Feature,Safety and Security,battery capacity (kWh); usable battery size; pack capacity,The total capacity of the battery in kWh.,Number,,,,,,,,,,
,,,Battery Diagnostic Test,Advanced Telematics Solution Safety & Security,battery diagnostics; battery check; battery self-test; battery scan,Self-diagnostic testing capabilities for the battery pack.,Boolean,,,,,,,,,,
,,,Battery Health Monitoring,Advanced Telematics Solution Safety & Security,battery health status; battery monitoring; battery state of health; battery condition tracking,Monitoring and display of battery health and condition status.,Boolean,,,,,,,,,,
,,,Battery Pack Safety Testing,Safety and Security,battery test standard; battery safety tests; battery validation tests; crash/thermal tests,The safety testing standards applied to the battery pack.,Category,,,,,,,,,,
,,,Battery Safety Engineering,Safety and Security,battery safety design; battery protection engineering; safety architecture for battery; battery safety measures,The design and engineering measures for battery safety.,Category,,,,,,,,,,
,,,Battery Safety Test,Safety and Security,safety test done; battery validation; certification tests,Confirmation that the battery has undergone safety testing.,Boolean,,,,,,,,,,
,,,Battery Thermal Management Feature,Safety and Security,battery cooling/heating; thermal management; liquid/air-cooled battery; battery temperature control,Cooling and heating system to maintain optimal battery temperature.,Boolean,,,,,,,,,,
,,,Blind Spot Alert Type,Alerts and Notifications,blind spot warning; indicator on mirrors; visual/audible alert; blind spot alert style,"The type of blind-spot alert: visual, audible, or haptic.",Category,,,,,,,,,,
,,,Blind Spot Safety Feature,Safety and Security,blind spot monitoring; blind spot assist; blind spot safety; blind zone detection,A system that alerts when vehicles are in the blind spot.,Boolean,,,,,,,,,,
,,,Body Structure Material,Safety and Security,high-strength steel; aluminum body; body material mix,The primary material used in the body structure.,Category,,,,,,,,,,
,,,Bonnet Design Type,Exterior,hood design; bonnet style; sculpted hood; bonnet lines,The design and style of the bonnet/hood.,Category,,,,,,,,,,
,,,Bottle Holder Location,Interior,bottle holder positions; door bottle holders; console bottle holders; bottle storage spots,The placement of bottle holders throughout the vehicle.,Category,,,,,,,,,,
,,,Brake Assistance Feature,Safety and Security,brake assist; BA; emergency braking assist; additional brake support,Automatic brake assistance system activated during emergency braking.,Boolean,,,,,,,,,,
,,,Brake Disc Type,Safety and Security,ventilated/solid disc; front/rear disc type; disc design,"The type of brake disc: ventilated, solid, etc.",Category,,,,,,,,,,
,,,Brake System Configuration,Safety and Security,front/rear disc/drum; brake setup; braking configuration,"Configuration of brake components: disc, drum, front/rear setup.",Category,,,,,,,,,,
,,,Cabin Air Filtration Feature,Comfort and Convenience,pollen filter; PM2.5 filter; cabin filter feature,"The air filtration system: pollen, PM2.5, or advanced filters.",Boolean,,,,,,,,,,
,,,Cabin Air Purification Feature,Comfort and Convenience,air purifier; ionizer; cabin purifier; in-car air cleaning,An air purifier or ionizer for improved cabin air quality.,Boolean,,,,,,,,,,
,,,Cabin Air Quality Component,Comfort and Convenience,air filter type; PM2.5 filter; HEPA filter; air quality element,The type of air filter or purification component used.,Category,,,,,,,,,,
,,,Cabin Air Quality Monitoring,Advanced Telematics Solution Safety & Security,air quality sensor; AQI display; PM2.5 level monitoring,Monitoring and display of cabin air quality levels.,Boolean,,,,,,,,,,
,,,Center Console Cup Holder Illumination,Interior,illuminated cup holders; cup holder lighting; console cup lights; lit cup slots,Illuminated cup holders in the center console.,Boolean,,,,,,,,,,
,,,Center Console Design,Interior,console layout; center console styling; console shape; console arrangement,The layout and design of the center console.,Category,,,,,,,,,,
