cohort_name,secondary_cohort,description,rule_hints,adventure,offroad,performance,identity,family,price_comfort,achievement,community,message_style_tags
Rubicon Trail Commanders,Capability Geeks,"Hardcore off-roaders who prioritise capability, rough terrain mastery and Rubicon-specific features.","Variant contains 'Rubicon'|Competition = Thar/Fortuner/4x4|Hill region buyer|Off-road content engagement",0.95,1.00,0.90,0.65,0.30,0.50,0.60,0.75,"capability_focus|terrain_conquest|technical_confidence"
Rock & Crawl Enthusiasts,Rubicon Trail Commanders,"Buyers obsessed with articulation, crawl ratio and 4x4 engineering depth.","Considering diff locks|Reading technical specs|Accessory interest",0.85,1.00,0.80,0.55,0.20,0.45,0.50,0.70,"crawl_ratio_focus|4x4_technical"
Weekend Trail Wanderers,Family Adventure Builders,"Young professionals & families doing frequent weekend hill drives.","Family size 2–4|4-door|Weekend getaway content",0.85,0.60,0.72,0.70,0.90,0.55,0.65,0.75,"weekend_escape|family_adventure"
Overlanding Nomads,Weekend Trail Wanderers,"Long-distance explorers who prefer overlanding, camping and remote expeditions.","Long-trip patterns|Camping gear|Additional car owner",1.00,0.75,0.80,0.70,0.55,0.70,0.75,0.85,"overlanding_story|range_reliability|gear_setup"
Urban Icons,Corporate Trailblazers,"City-focused lifestyle buyers choosing Wrangler for identity & presence.","Metro cities|Brand Image reason|Black/white/grey colours",0.55,0.40,0.65,1.00,0.50,0.85,0.90,0.60,"lifestyle_luxury|identity_led|city_presence"
Corporate Trailblazers,Urban Icons,"CXOs and business owners buying Wrangler as a status milestone.","Profession = Business/CXO|Corporate Category|Additional car",0.60,0.45,0.75,0.95,0.50,0.95,1.00,0.65,"achievement|premium_tone|leadership"
Style Maximalists,Urban Icons,"Bold-colour buyers who value visual appeal over specs.","Colours = Red/Blue/Green|Instagram-heavy engagement",0.75,0.40,0.55,1.00,0.40,0.70,0.70,0.60,"visual_identity|colour_highlight"
Heritage Brand Loyalists,Club & Community Joiners,"Existing Jeep/premium SUV owners with strong emotional affinity.","Existing vehicle = Jeep/Fortuner/Tiguan|Brand Image reason",0.70,0.55,0.65,0.95,0.60,0.80,0.85,0.90,"heritage_story|loyalty|community_bond"
Family Adventure Builders,Weekend Trail Wanderers,"Families looking for comfort and soft-roading capability.","Family size ≥3|Safety|Comfort focus",0.75,0.50,0.60,0.65,1.00,0.65,0.60,0.70,"family_friendly|comfort_plus_capability"
Safety-First Explorers,Comfort-Luxury Tourers,"Safety-led buyers cross-shopping Tiguan/Volvo class SUVs.","Reason = Build Quality & Safety|Premium comparison",0.60,0.45,0.75,0.70,0.90,0.80,0.70,0.60,"safety|premium_control"
Comfort-Luxury Tourers,Safety-First Explorers,"High-end variant buyers wanting comfort + long-range cruising.","Long-distance usage|High variant levels",0.65,0.40,0.80,0.80,0.75,0.90,0.85,0.55,"luxury_experience|comfort_driving"
Practical Premium Seekers,Offer-Motivated Explorers,"Rational first-time premium SUV buyers looking for value.","Comparing Harrier/XUV700|Value-driven",0.50,0.35,0.55,0.60,0.55,0.45,0.50,0.50,"value_proposition|smart_choice"
Offer-Motivated Explorers,Practical Premium Seekers,"Buyers motivated by deals, schemes and benefits.","Reason = Offer/Discount|Scheme-eligible",0.55,0.40,0.50,0.60,0.55,0.35,0.45,0.55,"limited_time_offer|value_driven"
Spec Sheet Hunters,Capability Geeks,"Highly analytical buyers comparing specifications across models.","Variant comparison|Spec-page heavy behaviour",0.55,0.50,0.80,0.65,0.50,0.60,0.65,0.55,"feature_comparison|technical_clarity"
Capability Geeks,Rubicon Trail Commanders,"4x4 purists valuing articulation, suspension geometry and engineering depth.","Interest in articulation/geometry|Competition = hardcore 4x4",0.75,0.95,0.85,0.70,0.35,0.60,0.65,0.70,"engineering_depth|4x4_superiority"
Club & Community Joiners,Heritage Brand Loyalists,"Buyers who value Jeep community drives and club culture.","Participates in events|Off-road clubs|Group drives",0.80,0.70,0.60,0.85,0.50,0.70,0.65,1.00,"community_belonging|tribe_identity"
