created,updated,dealership_id,region_id,region_name,dealer_name,supported_brands,showroom_name,showroom_type,contact_number,email,address,city,state,pincode,geolocation,days_open,operating_hours,showroom_status,showroom_full_name,showroom_level_guidelines,showroom_level_guardrails,region_level_guidelines,region_level_guardrails,region_subdivision_id,subdivision_name,languages,supported_brands_guidelines,subdivision_level_guidelines,subdivision_level_guardrails,manager_name,manager_contact,total_sales_executives,daily_walkin_capacity,facilities_available,parking_capacity,display_vehicle_count,google_reviews_rating,google_reviews,google_my_business_listing,showroom_reviews,showroom_photos,showroom_rating,showroom_id
,,,,India,Stellantis,Citroen,Satyam Balajee Exim Private Limited,Main Showroom,,,"C-160, Naraina Industrial Area Phase I, New Delhi - 110028",Delhi,Delhi,110028,"28.629789570411, 77.1372386679283","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 10:00, closing_time: 19:00",Active,,,,,,,Delhi,,,,,,,,,,,,,,,,,,
,,,,India,Stellantis,Citroen,E - Next Mobility private limited,Main Showroom,,,"Bestech Business Tower, Sohna Road, Shop No.11 & 12, Sector 48, Gurugram, Haryana - 122018.",Gurugram,Haryana,122018,"28.404601705934812, 77.04304589763872","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 10:00, closing_time: 19:01",Active,,,,,,,Haryana,,,,,,,,,,,,,,,,,,
,,,,India,Stellantis,Citroen,B4S Motors Pvt Ltd,Main Showroom,,,"Ground Floor, Achelare Olympia, Baner, Mumbai Bangalore Highway, Pune - 411045",Pune,Maharashtra,411045,"18.553592, 73.770852","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 10:00, closing_time: 19:02",Active,,,,,,,Maharashtra,,,,,,,,,,,,,,,,,,
,,,,India,Stellantis,Citroen,EVM Autokraft India Private Limited,Main Showroom,,,"Survey no. 228/3-2, NH 47, Near Harley Davidson, Kundannoor, Maradu, Kochi - 682304",Kochi,Kerala,682304,"9.9402251, 76.3183821","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 10:00, closing_time: 19:03",Active,,,,,,,Kerala,,,,,,,,,,,,,,,,,,
,,,,India,Stellantis,Citroen,Speed Links Automobile Private Limited,Main Showroom,,,"Plot no 17, Industrial area Phase 1, Chandigarh - 160001",Chandigarh,Punjab,160001,"30.71269, 76.806877","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 10:00, closing_time: 19:04",Active,,,,,,,Punjab,,,,,,,,,,,,,,,,,,
,,,,India,Stellantis,Citroen,EVM Autokraft India Private Limited,Main Showroom,,,"74/1320, Kalarikkal Paramba, Puthiyangadi PO, Calicut - 673021",Calicut,Kerala,673021,"11.304036, 75.759967","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 10:00, closing_time: 19:05",Active,,,,,,,Kerala,,,,,,,,,,,,,,,,,,
,,,,India,Stellantis,Citroen,BHARATH AUTO VIZAG PRIVATE LIMITED,Main Showroom,,,"45-58-18/19, Narasimha Nagar, Revenue ward-34, Visakhapatnam - 530024",Visakhapatnam,Andra Pradesh,530024,"17.74088889, 83.299","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 10:00, closing_time: 19:06",Active,,,,,,,Andra Pradesh,,,,,,,,,,,,,,,,,,
,,,,India,Stellantis,Citroen,Girnar Mobility Private Limited,Main Showroom,,,"E2 – MIDC Hingna Main Road, Nagpur - 440025",Nagpur,Maharashtra,440025,"21.134337, 79.003897","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 10:00, closing_time: 19:07",Active,,,,,,,Maharashtra,,,,,,,,,,,,,,,,,,
,,,,India,Stellantis,Citroen,AAN Vehicles Private Limited,Main Showroom,,,"Plot No 6. Revenue Survey No 390 Paiki, City Survey No: 5928, Beside BMW Showroom, Gondal Road, Rajkot, Gujarat, India 360004 , Rajkot - 360004",Rajkot,Gujarat,360004,"22.255111, 70.799957","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 10:00, closing_time: 19:08",Active,,,,,,,Gujarat,,,,,,,,,,,,,,,,,,
,,,,India,Stellantis,Citroen,Kanav Motors Private Limited,Main Showroom,,,"118/7 Milestone, G T Road, Karnal, Haryana , Karnal - 132001",Karnal,Haryana,132001,"29.6450078740936, 76.9826241780832","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","opening_time: 10:00, closing_time: 19:09",Active,,,,,,,Haryana,,,,,,,,,,,,,,,,,,
