created,updated,vehicle_model_id,brand_id,region_id,region_name,country_name,oem_name,brand_name,vehicle_model_name,vehicle_model_aliases,vehicle_description,vehicle_image,vehicle_video,vehicle_category,vehicle_type,vehicle_type_aliases,engine_types,transmission_types,transmission_types_aliases,year_launched,feature_summary,competitor_vehicles,region_level_guidelines,region_level_guardrails,brand_logo_url,brand_website,parent_company,brand_level_guidelines,brand_level_guardrails,oem_id,oem_brand_awareness,oem_country_of_origin,oem_wiki_description
,,,,,India,India,Suzuki Motor Corporation,Maruti Suzuki Arena,Alto K10,"New Alto K10, AltoK10, alto k10, k10, Maruti suzuki Alto k10, Maruti altok10","The Maruti Suzuki Alto K10 is a compact yet sophisticated city hatchback that blends sleek styling with confident everyday performance. Its clean design, refined cabin feel, and effortless drive make it a polished choice for urban buyers who want something smart, modern, and easy to live with.",,,Passenger vehicles,Hatchback,"Hatch, hatchback, small car, city car, compact car, Entry-level car","Petrol, CNG","Manual, Automatic","MT, AGS",2010,"The Maruti Suzuki Alto K10 is an entry-level hatchback designed for affordability, fuel efficiency, and ease of ownership. It is powered by a 1.0L K-Series petrol engine paired with manual and AMT transmission options, making it ideal for urban commuting. The compact size ensures easy maneuverability, while the cabin focuses on practicality with essential comfort and safety features.","Renault Kwid, Tata Tiago, Maruti S-Presso",,,,,,,,,,,
,,,,,India,India,Suzuki Motor Corporation,Maruti Suzuki Arena,Brezza,"NEW BREZZA,brezza, Maruti Suzuki Brezza, MAruti Brezza","Brezza is a sporty, urban SUV that blends bold design with a confident, high-seating drive, giving city journeys a refined yet adventurous feel.",,,Passenger vehicles,SUV,"Sport Utility Vehicle, SUV, Compact SUV, crossover","Petrol, CNG","Manual, Automatic","MT, AT",2016,"The Maruti Suzuki Brezza is a compact SUV focused on comfort, reliability, and everyday usability. It is powered by a 1.5L petrol engine with mild-hybrid technology, paired with manual and automatic transmissions. The Brezza offers a spacious cabin, high ground clearance, modern infotainment features, and a strong safety package, making it suitable for both city and highway driving.","Hyundai Venue, Kia Sonet, Tata Nexon, Mahindra XUV 3XO",,,,,,,,,,,
,,,,,India,India,Suzuki Motor Corporation,Maruti Suzuki Arena,Celerio,"NEW CELERIO,celerio, maruti suzuki celerio, maruti celerio","Celerio is a sleek, compact hatchback crafted for effortless city living, offering a smooth drive and smart efficiency in a modern everyday package.",,,Passenger vehicles,Hatchback,"Hatch, hatchback, small car, city car, compact car, Entry-level car","Petrol, CNG","Manual, Automatic","MT, AGS",2014,"The Maruti Suzuki Celerio is a compact hatchback emphasizing high fuel efficiency and ease of driving. It is powered by a 1.0L petrol engine with manual and AMT options. Lightweight construction, smooth drivability, and a practical interior layout make it well-suited for urban users and first-time buyers.","Hyundai Santro, Renault Kwid, Tata Tiago",,,,,,,,,,,
,,,,,India,India,Suzuki Motor Corporation,Maruti Suzuki Arena,Dzire,"DZIRE,dsire, maruti suzuki dzire, maruti dzire","Dzire is a stylish compact sedan that combines an elegant silhouette with a plush, spacious cabin, making every daily drive feel a touch more special.",,,Passenger vehicles,Sedan,"Saloon, Notchback, Mid-size car","Petrol, CNG","Manual, Automatic","MT, AMT",2008,"The Maruti Suzuki Dzire is a compact sedan designed to deliver comfort, refinement, and fuel efficiency. It features a 1.2L petrol engine with manual and AMT transmission options. The Dzire offers a spacious rear seat, refined ride quality, and a balanced mix of comfort, safety, and practicality.","Honda Amaze, Hyundai Aura, Toyota Vios",,,,,,,,,,,
,,,,,India,India,Suzuki Motor Corporation,Maruti Suzuki Arena,Eeco,"EECO,eco,,eko,ekko,maruti suzuki eeco,maruti eeco","Eeco is a versatile, multiâ€‘purpose van that offers generous space and practical comfort, ideal for families and businesses that value flexibility with simplicity.",,,Passenger vehicles,VAN,"Van, Passenger van, mini van","Petrol, CNG",Manual,,2010,"The Maruti Suzuki Eeco is a versatile multi-purpose vehicle focused on practicality and utility. Powered by a 1.2L petrol and CNG engine, it is available in multiple seating and cargo configurations. The Eeco is widely used for commercial and family purposes due to its low running costs and flexible interior layout.","Tata Winger, Renault Triber",,,,,,,,,,,
,,,,,India,India,Suzuki Motor Corporation,Maruti Suzuki Arena,Ertiga,"NEW ERTIGA,maruti suzuki ertiga,ertiga,artiga, maruti ertiga","Ertiga is a premium 3â€‘row MUV that wraps modern styling and refined interiors around true family comfort, perfect for long, relaxed journeys together.",,,Passenger vehicles,SUV,MUV,"Petrol, CNG","Manual, Automatic","MT, AT",2012,"The Maruti Suzuki Ertiga is a popular 7-seater MPV designed for family comfort and space efficiency. It is powered by a 1.5L petrol mild-hybrid engine with manual and automatic options. The Ertiga offers flexible seating, good ride comfort, and a practical interior suited for long-distance travel.","Toyota Innova Crysta, Toyota Innova Hycross, Kia Carens, Maruti Suzuki XL6, Toyota Rumion, Renault Triber",,,,,,,,,,,
,,,,,India,India,Suzuki Motor Corporation,Maruti Suzuki Arena,S-presso,"S-PRESSO,espresso,expresso,spresso, s presso, maruti suzuki s-presso, maruti s-presso, maruti suzuki s presso, maruti spresso","Sâ€‘Presso is a highâ€‘stance, youthful miniâ€‘SUV with a striking presence, bringing a lively, confident character to everyday city drives.",,,Passenger vehicles,Hatchback,,"Petrol, CNG","Manual, Automatic","MT, AGS",2019,"The Maruti Suzuki S-Presso is an entry-level hatchback with SUV-inspired styling and a tall-boy design. It is powered by a 1.0L petrol engine with manual and AMT options. The vehicle focuses on urban usability, compact dimensions, and affordability while offering a higher driving position.","Renault Kwid, Tata Tiago, Hyundai Santro",,,,,,,,,,,
,,,,,India,India,Suzuki Motor Corporation,Maruti Suzuki Arena,Swift,"swift,new swift, maruti suzuki swift, maruti swift","Swift is a dynamic, driverâ€‘focused hatchback that pairs sporty design with a lively, refined drive, ideal for those who want everyday practicality with a fun edge",,,Passenger vehicles,Hatchback,"Hatch, hatchback, small car, city car, compact car, Entry-level car","Petrol, CNG","Manual, Automatic","MT, AMT",2005,"The Maruti Suzuki Swift is a sporty premium hatchback known for its responsive performance and agile handling. It is powered by a 1.2L petrol engine with manual and AMT transmissions. Lightweight construction, modern features, and strong fuel efficiency make it a popular choice among young buyers.","Hyundai i20, Tata Altroz, Volkswagen Polo",,,,,,,,,,,
,,,,,India,India,Suzuki Motor Corporation,Maruti Suzuki Arena,Victoris,"victoris, maruti victoris, maruti suzuki victoris","Victoris is a premium, featureâ€‘rich SUV that combines sophisticated design, elevated comfort, and advanced tech for an upscale urban and highway experience.",,,Passenger vehicles,SUV,,"Petrol, CNG","Manual, Automatic","MT, AT",2025,"The Maruti Suzuki Vitara is a mid-size SUV offering a blend of comfort, reliability, and strong road presence. It features petrol powertrains and a spacious interior, focusing on family-oriented comfort and long-distance usability.","Toyota Innova Crysta, Kia Carnival, Mercedes-V-Class",,,,,,,,,,,
,,,,,India,India,Suzuki Motor Corporation,Maruti Suzuki Arena,WagonR,"WagonR, Wagon-R, wagon R, maruti suzuki wagonr, maruti wagon R","WagonR is a tallâ€‘boy hatchback that offers airy space, upright comfort, and confident performance, making it a smart and practical choice for modern families.",,,Passenger vehicles,Hatchback,"Hatch, hatchback, small car, city car, compact car, Entry-level car","Petrol, CNG","Manual, Automatic","MT, AGS",1999,"The Maruti Suzuki WagonR is a tall-boy hatchback designed for maximum interior space and practicality. It is offered with 1.0L and 1.2L petrol engines paired with manual and AMT options. The WagonR emphasizes ease of entry, strong fuel efficiency, and everyday usability.","Hyundai Santro, Tata Tiago, Renault Triber",,,,,,,,,,,
